item	lang	num1	num2	type	isCorr	pairs	order	sent	target
1	English	sg	pl	single	yes	1	x	The entrance to the laboratories	$SG
1	English	sg	pl	single	no	1	y	The entrance to the laboratories	$PL
2	English	pl	sg	single	yes	2	x	The entrances to the laboratory	$PL
2	English	pl	sg	single	no	2	y	The entrances to the laboratory	$SG
3	English	sg	pl	single	yes	3	x	The key to the cabinets	$SG
3	English	sg	pl	single	no	3	y	The key to the cabinets	$PL
4	English	pl	sg	single	yes	4	x	The keys to the cabinet	$PL
4	English	pl	sg	single	no	4	y	The keys to the cabinet	$SG
5	English	sg	pl	single	yes	5	x	The bridge to the islands	$SG
5	English	sg	pl	single	no	5	y	The bridge to the islands	$PL
6	English	pl	sg	single	yes	6	x	The bridges to the island	$PL
6	English	pl	sg	single	no	6	y	The bridges to the island	$SG
7	English	sg	pl	single	yes	7	x	The door to the offices	$SG
7	English	sg	pl	single	no	7	y	The door to the offices	$PL
8	English	pl	sg	single	yes	8	x	The doors to the office	$PL
8	English	pl	sg	single	no	8	y	The doors to the office	$SG
9	English	sg	pl	single	yes	9	x	The warning from the experts	$SG
9	English	sg	pl	single	no	9	y	The warning from the experts	$PL
10	English	pl	sg	single	yes	10	x	The warnings from the expert	$PL
10	English	pl	sg	single	no	10	y	The warnings from the expert	$SG
11	English	sg	pl	single	yes	11	x	The letter from the lawyers	$SG
11	English	sg	pl	single	no	11	y	The letter from the lawyers	$PL
12	English	pl	sg	single	yes	12	x	The letters from the lawyer	$PL
12	English	pl	sg	single	no	12	y	The letters from the lawyer	$SG
13	English	sg	pl	single	yes	13	x	The check from the stockbrokers	$SG
13	English	sg	pl	single	no	13	y	The check from the stockbrokers	$PL
14	English	pl	sg	single	yes	14	x	The checks from the stockbroker	$PL
14	English	pl	sg	single	no	14	y	The checks from the stockbroker	$SG
15	English	sg	pl	single	yes	15	x	The memo from the accountants	$SG
15	English	sg	pl	single	no	15	y	The memo from the accountants	$PL
16	English	pl	sg	single	yes	16	x	The memos from the accountant	$PL
16	English	pl	sg	single	no	16	y	The memos from the accountant	$SG
17	English	sg	pl	multi	yes	17	x	The label on the bottles	$SG
17	English	sg	pl	multi	no	17	y	The label on the bottles	$PL
18	English	pl	sg	multi	yes	18	x	The labels on the bottles	$PL
18	English	pl	sg	multi	no	18	y	The labels on the bottles	$SG
19	English	sg	pl	multi	yes	19	x	The mistake on the programs	$SG
19	English	sg	pl	multi	no	19	y	The mistake on the programs	$PL
20	English	pl	sg	multi	yes	20	x	The mistakes on the program	$PL
20	English	pl	sg	multi	no	20	y	The mistakes on the program	$SG
21	English	sg	pl	multi	yes	21	x	The picture on the postcards	$SG
21	English	sg	pl	multi	no	21	y	The picture on the postcards	$PL
22	English	pl	sg	multi	yes	22	x	The pictures on the postcard	$PL
22	English	pl	sg	multi	no	22	y	The pictures on the postcard	$SG
23	English	sg	pl	multi	yes	23	x	The slogan on the posters	$SG
23	English	sg	pl	multi	no	23	y	The slogan on the posters	$PL
24	English	pl	sg	multi	yes	24	x	The slogans on the poster	$PL
24	English	pl	sg	multi	no	24	y	The slogans on the poster	$SG
25	English	sg	pl	multi	yes	25	x	The name on the billboards	$SG
25	English	sg	pl	multi	no	25	y	The name on the billboards	$PL
26	English	pl	sg	multi	yes	26	x	The names on the billboard	$PL
26	English	pl	sg	multi	no	26	y	The names on the billboard	$SG
27	English	sg	pl	multi	yes	27	x	The menu in the restaurants	$SG
27	English	sg	pl	multi	no	27	y	The menu in the restaurants	$PL
28	English	pl	sg	multi	yes	28	x	The menus in the restaurant	$PL
28	English	pl	sg	multi	no	28	y	The menus in the restaurant	$SG
29	English	sg	pl	multi	yes	29	x	The latch on the windows	$SG
29	English	sg	pl	multi	no	29	y	The latch on the windows	$PL
30	English	pl	sg	multi	yes	30	x	The latches on the window	$PL
30	English	pl	sg	multi	no	30	y	The latches on the window	$SG
31	English	sg	pl	multi	yes	31	x	The date on the coins	$SG
31	English	sg	pl	multi	no	31	y	The date on the coins	$PL
32	English	pl	sg	multi	yes	32	x	The dates on the coin	$PL
32	English	pl	sg	multi	no	32	y	The dates on the coin	$SG
